# Next run begins here.
Lifetime (time steps): 193 	 Distance traveled: 658 	 Average speed: 3.41 	 Overall route: [23, 4, 21, 1, 18, 0]
Lifetime (time steps): 156 	 Distance traveled: 543 	 Average speed: 3.48 	 Overall route: [2, 16, 1, 3, 6, 7]
Lifetime (time steps): 85 	 Distance traveled: 318 	 Average speed: 3.74 	 Overall route: [13, 11, 10, 15, 14]
Lifetime (time steps): 223 	 Distance traveled: 1039 	 Average speed: 4.66 	 Overall route: [27, 17, 18, 1, 21, 4, 5, 24, 25]
Lifetime (time steps): 152 	 Distance traveled: 621 	 Average speed: 4.09 	 Overall route: [12, 11, 10, 15, 1, 18, 0]
Lifetime (time steps): 95 	 Distance traveled: 348 	 Average speed: 3.66 	 Overall route: [8, 9, 10, 11, 13]
Lifetime (time steps): 24 	 Distance traveled: 64 	 Average speed: 2.67 	 Overall route: [20, 19, 20]
Lifetime (time steps): 109 	 Distance traveled: 460 	 Average speed: 4.22 	 Overall route: [13, 11, 10, 9, 3, 6, 7]
Lifetime (time steps): 88 	 Distance traveled: 456 	 Average speed: 5.18 	 Overall route: [14, 15, 10, 9, 8]
Lifetime (time steps): 65 	 Distance traveled: 221 	 Average speed: 3.40 	 Overall route: [27, 17, 16, 2]
Lifetime (time steps): 41 	 Distance traveled: 170 	 Average speed: 4.15 	 Overall route: [25, 24, 25]
Lifetime (time steps): 70 	 Distance traveled: 313 	 Average speed: 4.47 	 Overall route: [20, 19, 21, 22]
Lifetime (time steps): 59 	 Distance traveled: 313 	 Average speed: 5.31 	 Overall route: [22, 21, 19, 20]
Lifetime (time steps): 114 	 Distance traveled: 348 	 Average speed: 3.05 	 Overall route: [2, 16, 17, 18, 0]
Lifetime (time steps): 155 	 Distance traveled: 712 	 Average speed: 4.59 	 Overall route: [20, 19, 21, 4, 3, 6, 7]
Lifetime (time steps): 212 	 Distance traveled: 847 	 Average speed: 4.00 	 Overall route: [22, 21, 4, 3, 9, 10, 11, 12]
Lifetime (time steps): 170 	 Distance traveled: 822 	 Average speed: 4.84 	 Overall route: [26, 5, 4, 21, 1, 15, 14]
Lifetime (time steps): 162 	 Distance traveled: 479 	 Average speed: 2.96 	 Overall route: [0, 18, 1, 3, 6, 7]
Lifetime (time steps): 31 	 Distance traveled: 182 	 Average speed: 5.87 	 Overall route: [23, 4, 23]
Lifetime (time steps): 80 	 Distance traveled: 348 	 Average speed: 4.35 	 Overall route: [2, 16, 17, 18, 0]
Lifetime (time steps): 60 	 Distance traveled: 240 	 Average speed: 4.00 	 Overall route: [7, 6, 24, 25]
Lifetime (time steps): 84 	 Distance traveled: 392 	 Average speed: 4.67 	 Overall route: [14, 15, 10, 11, 12]
Lifetime (time steps): 78 	 Distance traveled: 409 	 Average speed: 5.24 	 Overall route: [27, 17, 18, 19, 20]
Lifetime (time steps): 44 	 Distance traveled: 272 	 Average speed: 6.18 	 Overall route: [12, 11, 12]
Lifetime (time steps): 44 	 Distance traveled: 221 	 Average speed: 5.02 	 Overall route: [27, 17, 16, 2]
Lifetime (time steps): 27 	 Distance traveled: 64 	 Average speed: 2.37 	 Overall route: [20, 19, 20]
Lifetime (time steps): 85 	 Distance traveled: 432 	 Average speed: 5.08 	 Overall route: [23, 4, 5, 24, 25]
Lifetime (time steps): 211 	 Distance traveled: 810 	 Average speed: 3.84 	 Overall route: [13, 11, 10, 15, 1, 21, 19, 20]
Lifetime (time steps): 91 	 Distance traveled: 318 	 Average speed: 3.49 	 Overall route: [14, 15, 10, 11, 13]
Lifetime (time steps): 64 	 Distance traveled: 313 	 Average speed: 4.89 	 Overall route: [0, 18, 17, 27]
Lifetime (time steps): 197 	 Distance traveled: 884 	 Average speed: 4.49 	 Overall route: [12, 11, 10, 15, 1, 21, 19, 20]
Lifetime (time steps): 197 	 Distance traveled: 649 	 Average speed: 3.29 	 Overall route: [20, 19, 21, 4, 5, 24, 25]
Lifetime (time steps): 245 	 Distance traveled: 687 	 Average speed: 2.80 	 Overall route: [2, 16, 1, 3, 9, 10, 11, 13]
Lifetime (time steps): 48 	 Distance traveled: 221 	 Average speed: 4.60 	 Overall route: [27, 17, 16, 2]
Lifetime (time steps): 70 	 Distance traveled: 313 	 Average speed: 4.47 	 Overall route: [20, 19, 21, 22]
Lifetime (time steps): 186 	 Distance traveled: 806 	 Average speed: 4.33 	 Overall route: [12, 11, 10, 9, 3, 4, 5, 26]
Lifetime (time steps): 177 	 Distance traveled: 719 	 Average speed: 4.06 	 Overall route: [2, 16, 1, 21, 19, 20]
Lifetime (time steps): 150 	 Distance traveled: 432 	 Average speed: 2.88 	 Overall route: [25, 24, 5, 4, 23]
Lifetime (time steps): 247 	 Distance traveled: 908 	 Average speed: 3.68 	 Overall route: [25, 24, 5, 4, 21, 1, 18, 0]
Lifetime (time steps): 84 	 Distance traveled: 392 	 Average speed: 4.67 	 Overall route: [12, 11, 10, 15, 14]
Lifetime (time steps): 265 	 Distance traveled: 722 	 Average speed: 2.72 	 Overall route: [2, 16, 1, 21, 4, 23]
Lifetime (time steps): 204 	 Distance traveled: 648 	 Average speed: 3.18 	 Overall route: [27, 17, 18, 1, 3, 9, 8]
Lifetime (time steps): 186 	 Distance traveled: 479 	 Average speed: 2.58 	 Overall route: [0, 18, 1, 3, 6, 7]
Lifetime (time steps): 209 	 Distance traveled: 649 	 Average speed: 3.11 	 Overall route: [20, 19, 21, 4, 5, 24, 25]
Lifetime (time steps): 201 	 Distance traveled: 639 	 Average speed: 3.18 	 Overall route: [13, 11, 10, 9, 3, 4, 23]
